Province,Luas_Panen_ha,Produktivitas_ku_ha,Produksi_ton,Year,Productivity_per_ton,Production_efficiency,Produksi_lag1,Produktivitas_lag1,Area_lag1,Produksi_ma3,Produktivitas_ma3
SULAWESI SELATAN,1185484.1,50.21,5952616.45,2018,5.021,5.021253722424451,,,,5952616.45,50.21
SULAWESI SELATAN,1010188.75,50.03,5054166.96,2019,5.003,5.003190700747756,5952616.45,50.21,1185484.1,5503391.705,50.120000000000005
SULAWESI SELATAN,976258.14,48.23,4708464.97,2020,4.8229999999999995,4.822971278887365,5054166.96,50.03,1010188.75,5238416.126666666,49.49
SULAWESI SELATAN,985158.23,51.67,5090637.23,2021,5.167,5.167329546645518,4708464.97,48.23,976258.14,4951089.72,49.97666666666667
SULAWESI SELATAN,1038084.0,51.64,5360169.0,2022,5.164,5.163521449131284,5090637.23,51.67,985158.23,5053090.399999999,50.51333333333333
SULAWESI SELATAN,967790.21,50.39,4876386.11,2023,5.039,5.0386809657849305,5360169.0,51.64,1038084.0,5109064.113333334,51.23333333333333
SULAWESI SELATAN,951308.6,50.65,4818429.39,2024,5.0649999999999995,5.065053958305433,4876386.11,50.39,967790.21,5018328.166666667,50.89333333333334
SULAWESI TENGAH,201279.24,46.05,926978.66,2018,4.6049999999999995,4.605436010191613,,,,926978.66,46.05
SULAWESI TENGAH,186100.44,45.4,844904.3,2019,4.54,4.540044612468407,926978.66,46.05,201279.24,885941.48,45.724999999999994
SULAWESI TENGAH,178066.94,44.49,792248.84,2020,4.449,4.449162994545759,844904.3,45.4,186100.44,854710.6,45.31333333333333
SULAWESI TENGAH,182186.62,47.59,867012.77,2021,4.759,4.758926698349199,792248.84,44.49,178066.94,834721.9700000001,45.826666666666675
SULAWESI TENGAH,168993.2,44.05,744408.7,2022,4.404999999999999,4.4049624481931815,867012.77,47.59,182186.62,801223.4366666666,45.376666666666665
SULAWESI TENGAH,177699.03,46.22,821367.41,2023,4.622,4.622239130962054,744408.7,44.05,168993.2,810929.6266666666,45.95333333333334
